loan_id,facility_id,loan_cost,facility_cost,full_cost
1,5,71162.84,5887.25,77050.09
2,5,71162.84,11955.25,83118.09
3,5,71162.84,32335.8,103498.64
4,5,71162.84,2094.15,73256.98999999999
5,5,71162.84,26883.85,98046.69
6,5,71162.84,6745.65,77908.48999999999
7,5,71162.84,31735.899999999998,102898.73999999999
8,5,71162.84,4804.8,75967.64
9,5,71162.84,5207.25,76370.09
10,5,71162.84,20597,91759.84
11,5,71162.84,14278.5,85441.34
12,5,71162.84,19200.75,90363.59
13,5,71162.84,10425.6,81588.44
14,5,71162.84,8833.949999999999,79996.79
15,5,71162.84,2397.15,73559.98999999999
16,5,71162.84,3617.25,74780.09
17,5,71162.84,11834.25,82997.09
18,5,71162.84,12681.449999999999,83844.29
19,5,71162.84,2828.25,73991.09
20,5,71162.84,23828.35,94991.19
21,5,71162.84,9880.05,81042.89
22,5,71162.84,3189.45,74352.29
23,5,71162.84,3828.75,74991.59
24,5,71162.84,13779.449999999999,84942.29
25,5,71162.84,8266.199999999999,79429.04
26,5,71162.84,4092.2,75255.04
27,5,71162.84,4689.75,75852.59
28,5,71162.84,34017.2,105180.04
29,5,71162.84,22896.75,94059.59
30,5,71162.84,14431.199999999999,85594.04
31,5,71162.84,16006.9,87169.73999999999
32,5,71162.84,16679.5,87842.34
33,9,127666.01999999999,26592.649999999998,154258.66999999998
34,9,127666.01999999999,29232.699999999997,156898.71999999997
35,5,71162.84,3855.6,75018.44
36,9,127666.01999999999,31926.999999999996,159593.02
37,9,127666.01999999999,8170.2,135836.22
38,9,127666.01999999999,21078,148744.02
39,9,127666.01999999999,26761.35,154427.37
40,9,127666.01999999999,30247.35,157913.37
41,9,127666.01999999999,6355.349999999999,134021.37
42,9,127666.01999999999,7462.95,135128.97
43,9,127666.01999999999,5157.599999999999,132823.62
44,9,127666.01999999999,18904.75,146570.77
45,9,127666.01999999999,14209.25,141875.27
46,9,127666.01999999999,27673.449999999997,155339.46999999997
47,9,127666.01999999999,25768.05,153434.06999999998
48,9,127666.01999999999,8858.85,136524.87
49,9,127666.01999999999,14353.75,142019.77
50,9,127666.01999999999,25958.1,153624.12
51,9,127666.01999999999,7755.45,135421.47
52,9,127666.01999999999,14225.1,141891.12
53,9,127666.01999999999,7978.95,135644.97
54,9,127666.01999999999,15509.25,143175.27
55,5,71162.84,7140.7,78303.54
56,9,127666.01999999999,10856.3,138522.31999999998
57,9,127666.01999999999,21239.25,148905.27
58,14,1883.92,2431.65,4315.57
59,9,127666.01999999999,18091.5,145757.52
60,9,127666.01999999999,7093.8,134759.81999999998
61,9,127666.01999999999,22698.5,150364.52
62,9,127666.01999999999,20457.5,148123.52
63,9,127666.01999999999,10862.5,138528.52
64,9,127666.01999999999,16610.75,144276.77
65,9,127666.01999999999,4290.599999999999,131956.62
66,9,127666.01999999999,22310.75,149976.77
67,9,127666.01999999999,4310.4,131976.41999999998
68,9,127666.01999999999,18238.75,145904.77
69,12,119460.65999999999,31031.699999999997,150492.36
70,12,119460.65999999999,27887.3,147347.96
71,12,119460.65999999999,10523.4,129984.05999999998
72,9,127666.01999999999,4389,132055.02
73,12,119460.65999999999,6491.75,125952.40999999999
74,12,119460.65999999999,26553.449999999997,146014.11
75,12,119460.65999999999,13597.8,133058.46
76,12,119460.65999999999,2642.5,122103.15999999999
77,12,119460.65999999999,3988.5,123449.15999999999
78,12,119460.65999999999,14466.449999999999,133927.11
79,12,119460.65999999999,15281.75,134742.40999999997
80,12,119460.65999999999,25190.899999999998,144651.56
81,12,119460.65999999999,7990.5,127451.15999999999
82,12,119460.65999999999,4263.75,123724.40999999999
83,12,119460.65999999999,22989,142449.65999999997
84,12,119460.65999999999,8698.5,128159.15999999999
85,12,119460.65999999999,23610,143070.65999999997
86,12,119460.65999999999,7585.2,127045.85999999999
87,12,119460.65999999999,8406,127866.65999999999
88,12,119460.65999999999,3320.5499999999997,122781.20999999999
89,12,119460.65999999999,10188.5,129649.15999999999
90,12,119460.65999999999,10751.65,130212.30999999998
91,12,119460.65999999999,21968.25,141428.90999999997
92,12,119460.65999999999,29991.85,149452.50999999998
93,12,119460.65999999999,7487.549999999999,126948.20999999999
94,12,119460.65999999999,31434.899999999998,150895.56
95,12,119460.65999999999,17941,137401.65999999997
96,12,119460.65999999999,13282.05,132742.71
97,12,119460.65999999999,16880.75,136341.40999999997
98,12,119460.65999999999,25168.149999999998,144628.81
99,12,119460.65999999999,25172.35,144633.00999999998
100,12,119460.65999999999,3237.6,122698.26
101,12,119460.65999999999,23600,143060.65999999997
102,11,116282.28,13245.75,129528.03
103,12,119460.65999999999,3702.75,123163.40999999999
104,11,116282.28,1967.55,118249.83
105,11,116282.28,2200.2,118482.48
106,11,116282.28,14957.25,131239.53
107,11,116282.28,7564.95,123847.23
108,11,116282.28,24268.25,140550.53
109,11,116282.28,14696.4,130978.68
110,11,116282.28,11452.35,127734.63
111,11,116282.28,13630.8,129913.08
112,11,116282.28,2274.2999999999997,118556.58
113,11,116282.28,3804.45,120086.73
114,11,116282.28,9386.55,125668.83
115,11,116282.28,16587.899999999998,132870.18
116,11,116282.28,6849.75,123132.03
117,11,116282.28,32199.649999999998,148481.93
118,11,116282.28,21419.649999999998,137701.93
119,11,116282.28,6073.65,122355.93
120,11,116282.28,18648.35,134930.63
121,11,116282.28,2890.65,119172.93
122,11,116282.28,12561.3,128843.58
123,11,116282.28,9175.65,125457.93
124,12,119460.65999999999,4182.5,123643.15999999999
125,11,116282.28,11533.9,127816.18
126,11,116282.28,6637.65,122919.93
127,11,116282.28,13866.5,130148.78
128,11,116282.28,4325.849999999999,120608.13
129,11,116282.28,6242.7,122524.98
130,11,116282.28,10244.25,126526.53
131,11,116282.28,23866.5,140148.78
132,11,116282.28,3844.7499999999995,120127.03
133,11,116282.28,24106.949999999997,140389.22999999998
134,11,116282.28,2341.5,118623.78
135,11,116282.28,5627.299999999999,121909.58
136,11,116282.28,20969.55,137251.83
137,11,116282.28,9456.65,125738.93
138,11,116282.28,3973.95,120256.23
139,11,116282.28,5338.2,121620.48
140,11,116282.28,17126.5,133408.78
141,4,59517.63,12951.15,72468.78
142,4,59517.63,17960.6,77478.23
143,4,59517.63,12111.449999999999,71629.08
144,4,59517.63,7083.75,66601.38
145,4,59517.63,16767.5,76285.13
146,4,59517.63,8035.5,67553.13
147,4,59517.63,11345.1,70862.73
148,4,59517.63,33027.049999999996,92544.68
149,4,59517.63,9626.1,69143.73
150,4,59517.63,20114.85,79632.48
151,11,116282.28,9926,126208.28
152,4,59517.63,5446.05,64963.68
153,4,59517.63,29796.199999999997,89313.82999999999
154,4,59517.63,9918.75,69436.38
155,4,59517.63,3608.4,63126.03
156,4,59517.63,6695.15,66212.78
157,4,59517.63,9000,68517.63
158,4,59517.63,31822.699999999997,91340.32999999999
159,4,59517.63,9953.3,69470.93
160,4,59517.63,7008.4,66526.03
161,4,59517.63,7005.75,66523.38
162,4,59517.63,8567.85,68085.48
163,4,59517.63,12031.65,71549.28
164,4,59517.63,7207.2,66724.83
165,4,59517.63,26664.75,86182.38
166,4,59517.63,14411.1,73928.73
167,4,59517.63,9002,68519.63
168,4,59517.63,11781.449999999999,71299.08
169,4,59517.63,22594,82111.63
170,4,59517.63,12791.1,72308.73
171,4,59517.63,13912.849999999999,73430.48
172,4,59517.63,34654.549999999996,94172.18
173,4,59517.63,1994.1,61511.729999999996
174,7,83928.25,33582.15,117510.4
175,7,83928.25,5040.3,88968.55
176,11,116282.28,4408.599999999999,120690.88
177,7,83928.25,31124.449999999997,115052.7
178,7,83928.25,17081.75,101010
179,7,83928.25,30363.55,114291.8
180,4,59517.63,6859.25,66376.88
181,7,83928.25,4250.55,88178.8
182,7,83928.25,27276.899999999998,111205.15
183,7,83928.25,14788.5,98716.75
184,7,83928.25,6213.45,90141.7
185,7,83928.25,9006.3,92934.55
186,7,83928.25,18955.3,102883.55
187,7,83928.25,13497.4,97425.65
188,7,83928.25,19911.5,103839.75
189,7,83928.25,14296.35,98224.6
190,7,83928.25,23738.25,107666.5
191,7,83928.25,2846.7,86774.95
192,7,83928.25,32731.649999999998,116659.9
193,7,83928.25,16643.899999999998,100572.15
194,7,83928.25,11094,95022.25
195,7,83928.25,10634.5,94562.75
196,7,83928.25,14139.449999999999,98067.7
197,7,83928.25,30221.449999999997,114149.7
198,7,83928.25,22979,106907.25
199,7,83928.25,1698.3,85626.55
200,7,83928.25,21654.25,105582.5
201,7,83928.25,10252.55,94180.8
202,3,67578.18,13976.55,81554.73
203,3,67578.18,11296.199999999999,78874.37999999999
204,3,67578.18,17086.3,84664.48
205,3,67578.18,9554.25,77132.43
206,3,67578.18,10221.05,77799.23
207,3,67578.18,12673.25,80251.43
208,3,67578.18,10859.699999999999,78437.87999999999
209,3,67578.18,8872.65,76450.82999999999
210,15,2119.41,4588.15,6707.5599999999995
211,3,67578.18,15609.25,83187.43
212,3,67578.18,11220.5,78798.68
213,3,67578.18,16064.999999999998,83643.18
214,3,67578.18,21723.1,89301.28
215,3,67578.18,2263.2,69841.37999999999
216,3,67578.18,12556.599999999999,80134.78
217,3,67578.18,8064,75642.18
218,3,67578.18,11977.8,79555.98
219,3,67578.18,12266.4,79844.57999999999
220,3,67578.18,15788.75,83366.93
221,3,67578.18,10923.849999999999,78502.03
222,3,67578.18,6601.95,74180.12999999999
223,3,67578.18,20939.25,88517.43
224,3,67578.18,13150.25,80728.43
225,3,67578.18,12526.199999999999,80104.37999999999
226,3,67578.18,19452.5,87030.68
227,3,67578.18,13491.099999999999,81069.28
228,3,67578.18,14236.05,81814.23
229,3,67578.18,17154.75,84732.93
230,3,67578.18,15049.3,82627.48
231,3,67578.18,11750.25,79328.43
232,3,67578.18,21224.35,88802.53
233,3,67578.18,12806.5,80384.68
234,3,67578.18,7592.75,75170.93
235,3,67578.18,7808.7,75386.87999999999
236,3,67578.18,9942.449999999999,77520.62999999999
237,3,67578.18,6192.25,73770.43
238,3,67578.18,18726.5,86304.68
239,3,67578.18,13977.9,81556.07999999999
240,7,83928.25,1632.75,85561
241,3,67578.18,3406.35,70984.53
242,3,67578.18,15950.9,83529.07999999999
243,3,67578.18,11134.9,78713.07999999999
244,3,67578.18,7426.65,75004.82999999999
245,1,38723.06,23324.5,62047.56
246,1,38723.06,14068.35,52791.409999999996
247,1,38723.06,11684.55,50407.61
248,1,38723.06,14878.5,53601.56
249,1,38723.06,27965.35,66688.41
250,1,38723.06,5697.25,44420.31
251,1,38723.06,9475.199999999999,48198.259999999995
252,1,38723.06,6654.3,45377.36
253,1,38723.06,5076.3,43799.36
254,1,38723.06,5765.4,44488.46
255,1,38723.06,14114.1,52837.159999999996
256,1,38723.06,10316.4,49039.46
257,1,38723.06,8413.5,47136.56
258,1,38723.06,20189.5,58912.56
259,1,38723.06,18160.75,56883.81
260,1,38723.06,6467.299999999999,45190.36
261,1,38723.06,2594.25,41317.31
262,1,38723.06,32929.4,71652.45999999999
263,1,38723.06,5203.05,43926.11
264,1,38723.06,26047,64770.06
265,1,38723.06,4184.4,42907.46
266,1,38723.06,5752.95,44476.009999999995
267,1,38723.06,11216.55,49939.61
268,1,38723.06,3506.5499999999997,42229.61
269,1,38723.06,6430,45153.06
270,1,38723.06,12942.5,51665.56
271,1,38723.06,27972.699999999997,66695.76
272,1,38723.06,11596.199999999999,50319.259999999995
273,1,38723.06,15470.699999999999,54193.759999999995
274,1,38723.06,8194.9,46917.96
275,1,38723.06,11556.65,50279.71
276,1,38723.06,9518.5,48241.56
277,1,38723.06,2573.4,41296.46
278,1,38723.06,22843.5,61566.56
279,1,38723.06,14015.4,52738.46
280,1,38723.06,22152.55,60875.61
281,13,34480.950000000004,20950.5,55431.450000000004
282,13,34480.950000000004,21575.05,56056
283,13,34480.950000000004,13083.9,47564.850000000006
284,13,34480.950000000004,12399.449999999999,46880.4
285,13,34480.950000000004,29363.249999999996,63844.2
286,1,38723.06,3334.5,42057.56
287,2,49287,14101.199999999999,63388.2
288,1,38723.06,1974.75,40697.81
289,13,34480.950000000004,13504.4,47985.350000000006
290,13,34480.950000000004,7426.25,41907.200000000004
291,2,49287,9646.35,58933.35
292,2,49287,27748,77035
293,2,49287,25312,74599
294,2,49287,23847.75,73134.75
295,1,38723.06,7648.9,46371.96
296,2,49287,13890.449999999999,63177.45
297,2,49287,6832.05,56119.05
298,2,49287,13513.5,62800.5
299,2,49287,10187.8,59474.8
300,2,49287,7961.099999999999,57248.1
301,2,49287,31724.35,81011.35
302,2,49287,16794.75,66081.75
303,2,49287,33068,82355
304,2,49287,12127.5,61414.5
305,2,49287,10162,59449
306,2,49287,6283.65,55570.65
307,13,34480.950000000004,8230.949999999999,42711.9
308,2,49287,24842.25,74129.25
309,2,49287,1819.05,51106.05
310,2,49287,2942.75,52229.75
311,2,49287,28884.1,78171.1
312,2,49287,15126.3,64413.3
313,2,49287,24435.5,73722.5
314,2,49287,10727,60014
315,2,49287,11354.5,60641.5
316,2,49287,20649.649999999998,69936.65
317,2,49287,13900.5,63187.5
318,10,127740.29999999999,8524.05,136264.34999999998
319,10,127740.29999999999,21160.25,148900.55
320,10,127740.29999999999,25480.699999999997,153221
321,2,49287,4414.2,53701.2
322,10,127740.29999999999,33609.45,161349.75
323,2,49287,9012,58299
324,10,127740.29999999999,25698.75,153439.05
325,10,127740.29999999999,11733.75,139474.05
326,10,127740.29999999999,13636.8,141377.09999999998
327,10,127740.29999999999,14200.199999999999,141940.5
328,10,127740.29999999999,2560.0499999999997,130300.34999999999
329,10,127740.29999999999,13837.5,141577.8
330,10,127740.29999999999,10151.85,137892.15
331,10,127740.29999999999,24328.5,152068.8
332,10,127740.29999999999,28631.399999999998,156371.69999999998
333,10,127740.29999999999,30357.949999999997,158098.25
334,10,127740.29999999999,4555.25,132295.55
335,10,127740.29999999999,12484.5,140224.8
336,10,127740.29999999999,7767.75,135508.05
337,10,127740.29999999999,23205.75,150946.05
338,10,127740.29999999999,2082.9,129823.19999999998
339,10,127740.29999999999,2713.5,130453.79999999999
340,10,127740.29999999999,14987,142727.3
341,10,127740.29999999999,4886,132626.3
342,10,127740.29999999999,19644.25,147384.55
343,10,127740.29999999999,12772,140512.3
344,10,127740.29999999999,13707.449999999999,141447.75
345,10,127740.29999999999,8812.65,136552.94999999998
346,10,127740.29999999999,9101.5,136841.8
347,10,127740.29999999999,19576.55,147316.84999999998
348,10,127740.29999999999,16177.75,143918.05
349,10,127740.29999999999,6527.099999999999,134267.4
350,10,127740.29999999999,14942.849999999999,142683.15
351,10,127740.29999999999,8651.65,136391.94999999998
352,10,127740.29999999999,33297.95,161038.25
353,10,127740.29999999999,4706.7,132447
354,10,127740.29999999999,4910.4,132650.69999999998
355,10,127740.29999999999,17522.399999999998,145262.69999999998
356,8,111703.20000000001,16100.25,127803.45000000001
357,8,111703.20000000001,4661.299999999999,116364.50000000001
358,8,111703.20000000001,20408.85,132112.05000000002
359,8,111703.20000000001,31255.35,142958.55000000002
360,8,111703.20000000001,3538.7999999999997,115242.00000000001
361,8,111703.20000000001,21815.149999999998,133518.35
362,8,111703.20000000001,8650.199999999999,120353.40000000001
363,8,111703.20000000001,11574,123277.20000000001
364,8,111703.20000000001,7122.45,118825.65000000001
365,8,111703.20000000001,2381.7,114084.90000000001
366,8,111703.20000000001,13126.35,124829.55000000002
367,8,111703.20000000001,3238.95,114942.15000000001
368,8,111703.20000000001,12031.949999999999,123735.15000000001
369,8,111703.20000000001,30675.749999999996,142378.95
370,8,111703.20000000001,23375.1,135078.30000000002
371,8,111703.20000000001,14484.5,126187.70000000001
372,8,111703.20000000001,8228.15,119931.35
373,8,111703.20000000001,20809.75,132512.95
374,8,111703.20000000001,13716.5,125419.70000000001
375,8,111703.20000000001,15721.65,127424.85
376,8,111703.20000000001,8523.55,120226.75000000001
377,10,127740.29999999999,1709.85,129450.15
378,8,111703.20000000001,23320.149999999998,135023.35
379,8,111703.20000000001,13263.5,124966.70000000001
380,8,111703.20000000001,13911,125614.20000000001
381,8,111703.20000000001,6925.5,118628.70000000001
382,8,111703.20000000001,22897.25,134600.45
383,8,111703.20000000001,3085.7999999999997,114789.00000000001
384,8,111703.20000000001,14948.849999999999,126652.05000000002
385,8,111703.20000000001,7743.15,119446.35
386,8,111703.20000000001,14018.55,125721.75000000001
387,8,111703.20000000001,13812.5,125515.70000000001
388,8,111703.20000000001,19002.199999999997,130705.40000000001
389,8,111703.20000000001,13940.75,125643.95000000001
390,8,111703.20000000001,13574.25,125277.45000000001
391,8,111703.20000000001,12145.05,123848.25000000001
392,8,111703.20000000001,25298.699999999997,137001.90000000002
393,8,111703.20000000001,12348.3,124051.50000000001
394,8,111703.20000000001,6672.5,118375.70000000001
395,6,73238.16,13211.25,86449.41
396,6,73238.16,21065,94303.16
397,8,111703.20000000001,9109,120812.20000000001
398,6,73238.16,19529.25,92767.41
399,6,73238.16,32864.299999999996,106102.45999999999
400,6,73238.16,16296.5,89534.66
401,6,73238.16,17051.5,90289.66
402,6,73238.16,11807.85,85046.01000000001
403,6,73238.16,12530.1,85768.26000000001
404,6,73238.16,15627.75,88865.91
405,6,73238.16,13708.949999999999,86947.11
406,6,73238.16,7857.75,81095.91
407,6,73238.16,6352.849999999999,79591.01000000001
408,6,73238.16,10463.5,83701.66
409,6,73238.16,3510.45,76748.61
410,6,73238.16,6298.75,79536.91
411,8,111703.20000000001,1638.8999999999999,113342.1
412,6,73238.16,13960.5,87198.66
413,6,73238.16,9041.75,82279.91
414,6,73238.16,21689.5,94927.66
415,6,73238.16,6471.75,79709.91
416,6,73238.16,9162.75,82400.91
417,6,73238.16,8479.449999999999,81717.61
418,6,73238.16,32428.899999999998,105667.06
419,6,73238.16,22207.75,95445.91
420,6,73238.16,18384.75,91622.91
421,6,73238.16,3076.65,76314.81
422,6,73238.16,14081.5,87319.66
423,6,73238.16,23458.25,96696.41
424,6,73238.16,7216.999999999999,80455.16
425,6,73238.16,30314.899999999998,103553.06
